Sample	cell_wall	mucin	peptidoglycan	Tags	Treatment	Days	Cage	Total Bacteria	cell_wall_N	mucin_N	peptidoglycan_N
MBS1000	1613010	201749	35275	BCBA-22-5	BCBA	22	5	2627798	61.38257202	7.677492714	1.342378676
MBS1001	1861722	218927	36607	BCBA-22-6	BCBA	22	6	2472171	75.30716929	8.855657639	1.480763264
MBS1002	1545609	215663	24885	PBS-22-3	PBS	22	3	2731832	56.57774709	7.894445925	0.910927173
MBS1003	2119479	296918	50563	PBS-22-4	PBS	22	4	3794098	55.86252648	7.825786261	1.332675118
MBS1004	2070210	325867	38970	PBS-22-5	PBS	22	5	3720622	55.64150295	8.758401149	1.047405514
MBS1005	829126	125469	22047	PBS-22-6	PBS	22	6	1213046	68.3507468	10.34330108	1.817490845
MBS658	2146733	275407	41709	BT-0-1	BT	0	1	2681011	80.07177143	10.27250541	1.555719093
MBS659	2296312	273961	42435	BT-0-2	BT	0	2	2666738	86.10939657	10.27326269	1.591269934
MBS660	1699305	226312	28738	BC-0-1	BC	0	1	1993218	85.25434749	11.35410176	1.441789107
MBS661	1617248	220419	28452	BC-0-2	BC	0	2	1852357	87.30757624	11.89938009	1.535989013
MBS662	1691537	218682	33989	BCBA-0-1	BCBA	0	1	2111689	80.10350956	10.35578629	1.609564666
MBS663	1730952	235709	30322	BCBA-0-2	BCBA	0	2	1919093	90.19635838	12.28231253	1.580017227
MBS664	2296989	272576	42746	BA-0-1	BA	0	1	2904510	79.08352872	9.384577777	1.471711235
MBS665	1920221	252324	39216	BA-0-2	BA	0	2	2319664	82.7801354	10.87760986	1.690589672
MBS666	1652508	209832	33139	BTBA-0-1	BTBA	0	1	2033729	81.25507381	10.31759885	1.629469806
MBS667	1381836	178894	27965	BTBA-0-2	BTBA	0	2	1784070	77.45413577	10.02729714	1.567483339
MBS668	2159993	272349	43451	PBS-0-2	PBS	0	2	2581141	83.68364998	10.55149641	1.683402805
MBS669	40817	2777	295	BT-3-1	BT	3	1	64699	63.0875284	4.292183805	0.455957588
MBS670	26672	1429	182	BT-3-2	BT	3	2	43836	60.84496761	3.259877726	0.415183867
MBS671	28785	2021	244	BC-3-1	BC	3	1	42194	68.22060009	4.789780538	0.578281272
MBS672	24616	1512	235	BC-3-2	BC	3	2	40627	60.59024786	3.721662934	0.578433062
MBS673	27297	1655	503	BCBA-3-1	BCBA	3	1	40564	67.2936594	4.079972389	1.240015778
MBS674	27516	1434	320	BCBA-3-2	BCBA	3	2	46258	59.48376497	3.100004324	0.691772234
MBS675	38181	2112	438	BA-3-1	BA	3	1	62132	61.451426	3.399214575	0.70495075
MBS676	40987	2377	346	BA-3-2	BA	3	2	63472	64.57493068	3.744958407	0.545122259
MBS677	49521	3994	315	BTBA-3-1	BTBA	3	1	62147	79.68365327	6.42669799	0.506862761
MBS678	20646	1313	284	BTBA-3-2	BTBA	3	2	39077	52.83414796	3.360032756	0.726770223
MBS680	21955	1276	219	PBS-3-2	PBS	3	2	38381	57.20278263	3.324561632	0.570594826
MBS681	20184	1004	222	BT-6-1	BT	6	1	35763	56.43821827	2.807370746	0.620753293
MBS682	51372	2601	1020	BT-6-2	BT	6	2	91325	56.2518478	2.848070079	1.116890227
MBS683	19126	1214	131	BC-6-1	BC	6	1	32552	58.75522241	3.729417547	0.40243303
MBS684	26580	1992	183	BC-6-2	BC	6	2	36887	72.05790658	5.40027652	0.496109741
MBS685	28226	1735	125	BCBA-6-1	BCBA	6	1	42712	66.08447275	4.062090279	0.292657801
MBS686	18321	1100	160	BCBA-6-2	BCBA	6	2	29314	62.49914717	3.752473221	0.545814287
MBS687	24418	1190	78	BA-6-1	BA	6	1	36426	67.03453577	3.266897271	0.214132762
MBS688	37833	1838	462	BA-6-2	BA	6	2	61414	61.60321751	2.992802944	0.752271469
MBS689	29389	1569	492	BTBA-6-1	BTBA	6	1	46400	63.33836207	3.381465517	1.060344828
MBS690	33571	2129	408	BTBA-6-2	BTBA	6	2	53409	62.85644742	3.986219551	0.763916194
MBS692	54630	3646	692	PBS-6-2	PBS	6	2	86361	63.2577205	4.221813087	0.801287618
MBS693	162270	29635	4219	BT-7-1	BT	7	1	179907	90.19660158	16.47239963	2.345100524
MBS694	27478	3302	356	BT-7-2	BT	7	2	37353	73.56303376	8.839986079	0.953069365
MBS695	27098	1940	404	BC-7-1	BC	7	1	45614	59.40719954	4.253080195	0.885692989
MBS696	30207	2078	328	BC-7-2	BC	7	2	40437	74.70138734	5.138857977	0.811138314
MBS697	25305	1600	491	BCBA-7-1	BCBA	7	1	37478	67.51961151	4.269171247	1.310101926
