Index	s__Abiotrophia_defectiva	s__Acidaminococcus_fermentans	s__Actinomyces_odontolyticus	s__Actinomyces_oris	s__Actinomyces_viscosus	s__Aggregatibacter_aphrophilus	s__Aggregatibacter_segnis	s__Akkermansia_muciniphila	s__Alistipes_putredinis	s__Alistipes_shahii	s__Alistipes_unclassified	s__Anaerococcus_unclassified	s__Anaerofustis_stercorihominis	s__Anaerostipes_caccae	s__Anaerotruncus_colihominis	s__Atopobium_parvulum	s__Atopobium_rimae	s__Atopobium_vaginae	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_coprocola	s__Bacteroides_coprophilus	s__Bacteroides_dorei	s__Bacteroides_eggerthii	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_helcogenes	s__Bacteroides_intestinalis	s__Bacteroides_ovatus	s__Bacteroides_pectinophilus	s__Bacteroides_plebeius	s__Bacteroides_salanitronis	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_unclassified	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Bifidobacterium_adolescentis	s__Bifidobacterium_angulatum	s__Bifidobacterium_animalis	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_catenulatum	s__Bifidobacterium_dentium	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Bifidobacterium_unclassified	s__Bilophila_wadsworthia	s__Blautia_hansenii	s__Blautia_hydrogenotrophica	s__Blautia_unclassified	s__Brachyspira_unclassified	s__Brucella_ceti	s__Brucella_suis	s__Burkholderia_unclassified	s__Butyrivibrio_crossotus	s__Butyrivibrio_unclassified	s__Campylobacter_concisus	s__Campylobacter_gracilis	s__Campylobacter_hominis	s__Candidatus_Carsonella_ruddii	s__Catenibacterium_mitsuokai	s__Cellulophaga_unclassified	s__Citrobacter_koseri	s__Citrobacter_unclassified	s__Clostridium_asparagiforme	s__Clostridium_bartlettii	s__Clostridium_bolteae	s__Clostridium_cf	s__Clostridium_hathewayi	s__Clostridium_hylemonae	s__Clostridium_leptum	s__Clostridium_methylpentosum	s__Clostridium_nexile	s__Clostridium_scindens	s__Clostridium_symbiosum	s__Collinsella_aerofaciens	s__Collinsella_intestinalis	s__Collinsella_stercoris	s__Collinsella_unclassified	s__Coprobacillus_bacterium	s__Coprococcus_catus	s__Coprococcus_comes	s__Coprococcus_eutactus	s__Deinococcus_unclassified	s__Desulfovibrio_desulfuricans	s__Desulfovibrio_piger	s__Dialister_invisus	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eggerthella_lenta	s__Enterobacter_cancerogenus	s__Enterobacter_cloacae	s__Enterobacter_unclassified	s__Enterococcus_faecium	s__Enterococcus_unclassified	s__Escherichia_coli	s__Escherichia_fergusonii	s__Escherichia_unclassified	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_limosum	s__Eubacterium_rectale	s__Eubacterium_siraeum	s__Eubacterium_ventriosum	s__Faecalibacterium_cf	s__Faecalibacterium_prausnitzii	s__Faecalibacterium_unclassified	s__Fusobacterium_mortiferum	s__Gardnerella_vaginalis	s__Gemella_moribillum	s__Gemella_unclassified	s__Gordonibacter_pamelaeae	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Granulicella_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Holdemania_filiformis	s__Klebsiella_pneumoniae	s__Klebsiella_unclassified	s__Lactobacillus_acidophilus	s__Lactobacillus_casei	s__Lactobacillus_delbrueckii	s__Lactobacillus_iners	s__Lactobacillus_paracasei	s__Lactobacillus_rhamnosus	s__Lactococcus_lactis	s__Leuconostoc_gasicomitatum	s__Leuconostoc_unclassified	s__Marvinbryantia_formatexigens	s__Megamonas_hypermegale	s__Megasphaera_micronuciformis	s__Methanobrevibacter_smithii	s__Methanobrevibacter_unclassified	s__Methanosphaera_stadtmanae	s__Mitsuokella_multacida	s__Mycobacterium_unclassified	s__Neisseria_unclassified	s__Odoribacter_splanchnicus	s__Oribacterium_sinus	s__Oxalobacter_formigenes	s__Parabacteroides_distasonis	s__Parabacteroides_johnsonii	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Parvimonas_micros	s__Peptoniphilus_unclassified	s__Peptostreptococcus_anaerobius	s__Peptostreptococcus_unclassified	s__Phascolarctobacterium_unclassified	s__Porphyromonas_asaccharolytica	s__Porphyromonas_uenonis	s__Prevotella_bergensis	s__Prevotella_bivia	s__Prevotella_buccae	s__Prevotella_buccalis	s__Prevotella_copri	s__Prevotella_disiens	s__Prevotella_marshii	s__Prevotella_multiformis	s__Prevotella_oralis	s__Prevotella_timonensis	s__Prevotella_veroralis	s__Propionibacterium_acnes	s__Propionibacterium_freudenreichii	s__Propionibacterium_unclassified	s__Pseudoflavonifractor_capillosus	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Roseburia_unclassified	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Rothia_unclassified	s__Ruminococcus_albus	s__Ruminococcus_bromii	s__Ruminococcus_gnavus	s__Ruminococcus_lactaris	s__Ruminococcus_obeum	s__Ruminococcus_torques	s__Salmonella_typhimurium	s__Selenomonas_unclassified	s__Shigella_boydii	s__Shigella_dysenteriae	s__Shigella_sonnei	s__Slackia_unclassified	s__Solobacterium_moorei	s__Streptococcus_australis	s__Streptococcus_cristatus	s__Streptococcus_gallolyticus	s__Streptococcus_gordonii	s__Streptococcus_infantis	s__Streptococcus_mitis	s__Streptococcus_mutans	s__Streptococcus_oralis	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Streptococcus_thermophilus	s__Streptococcus_vestibularis	s__Subdoligranulum_variabile	s__Sutterella_wadsworthensis	s__Turicibacter_unclassified	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_parvula	s__Veillonella_unclassified	s__Victivallis_vadensis
P10E0	0.01386	0	0.0953	0	0	0	0	0	22.75863	4.54525	0	0	0	0	0.04193	0	0	0	3.1332	0	0	0	0.05062	0.0661	0.02481	0.07873	0.00309	11.08181	1.31815	0	0	0	0.57578	0.21888	1.27538	0.50225	8.92523	0.59604	0.47387	0	0	0.09286	0	0	0	2.98745	0	0	1.72846	0	0.00632	0.05445	0	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0.06947	0	0.04702	0.0296	0.02166	0	0.02442	0	0	0	0.02371	0.82861	0	0	0	0	0.04309	0.38497	0.00095	0	0.18492	0	0	0.10192	0.04727	0.03043	0	0	0	0	0	1.75962	0	0	0.46937	0.01055	0	7.58327	0.48377	0.45206	1.12317	3.91927	0.07463	0	0	0	0.00063	0.00409	0.00064	0.00639	0	0	0	0.28561	0.00828	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0.1458	0.01714	0	0	0.00178	0	2.38627	0	0.00053	0.1623	0.01057	4.07348	0	0	0.00817	0	0	0	0.00872	0.00397	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0.07063	0	0	0	2.30889	0	0	0.0129	0	0	1.49151	0.06199	0	0.07853	7.29357	0	0	0	0	0	0.0051	0	0	0	0	0.00633	0	0	0	0	0	0	0	0.03241	0	0.00975	2.70502	0	0	0.03002	0.04526	0.3448	0
P10E7	0	0	0	0	0	0	0	0	12.42634	2.30338	0	0	0	0	0.01896	0	0	0	3.46992	0	0	0	0.03474	0.0013	0.05639	0.00851	0.00384	10.66487	1.30144	0	0	0	0.00834	0.08523	21.18393	1.07149	4.70811	0.63868	0	0	0	0	0	0	0	0.1338	0	0	1.28112	0	0.00966	0.01118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19032	0	2.9316	0.00898	0.16167	0	0.25309	0.30864	0	0.04785	1.14264	0	0	0	0	0	0	0	0	0	0.53536	0	0	0	0	0.03624	0	0	0	0	0	0.03507	0	0.00308	0.70908	0	0.00367	0	12.91346	0	0.0284	4.71138	0	0	0	0	0	0	0	0	0	0	0	0.0511	0.03166	0.00089	0	0	0	0	0	0	0	0	0	0	0	0	0.10015	0.03501	0	0	0	0	2.32858	0	0.02753	0.17815	0.67882	9.7028	0.16312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08183	0	0	0	0	0.00103	0	0	0	0	1.33648	0.00638	0	0	1.80472	0	0	0	0	0	0	0	0.00901	0	0	0	0	0	0	0	0	0	0	0.00162	0	0.00527	0.00641	0	0	0	0	0	0.00011
P10E90	0	0	0.00144	0	0	0	0	0	17.95422	5.22025	0	0	0	0	0.10793	0	0	0	7.43359	0.00013	0.00029	0	0.06885	0.05258	0.02709	0.016	0.00373	8.80587	1.14661	0	0	0	0.45459	0.68674	2.09589	0.75165	17.00884	0.65674	0.71894	0	0	0.08513	0	0	0	0.18301	0	0	0.49612	0	0.00077	0.02692	0	0	0	0	0	0.00135	0	0	0	0	0	0	0	0	0.02197	0.00186	0.09992	0.02766	0.01229	0	0.01753	0.00307	0	0.00297	0.00148	0.36217	0	0	0	0	0.0521	0.15576	0	0	0.18274	0	0.61676	0	0.03723	0.00889	0	0	0	0	0	0.1424	0	0.00448	4.79828	0.07652	0	2.9831	2.66454	0.03486	1.26184	3.93183	0.11735	0	0	0.00889	0	0.0013	0	0	0	0	0.0849	0.09102	0	0	0	0	0	0	0	0	0.01069	0	0	0	0	0	0.3694	0.00459	0	0	0	0	3.72578	0	0.00918	0.37187	0.09971	7.37239	0	0.00406	0	0	0	0	0	0	0	0	0	0.00157	0	0	0	0	0	0	0	0	0	0	0.0355	0	0	0.34607	0.23259	0	0	0.00196	0.0024	0	1.22706	0.00254	0	0.13995	1.79494	0	0	0	0	0	0.00373	0	0.00874	0	0	0	0	0	0	0	0.03256	0.03681	0.00029	0.02084	0	0.00768	2.17932	0	0	0.00453	0.04055	0.06432	0
P11E0	0	0.0004	0.00256	0	0	0	0	0	37.56506	7.4859	0	0	0	0	0.0076	0	0	0	0.58218	0.61782	0	0	0.03178	0	1.5299	0	0.00233	1.7009	0.31717	0	0	0.00047	0.00463	0.04691	0	1.57318	24.68588	0.30386	0.7021	0	0	0.03977	0	0.01092	0	0.03449	0.0085	0	1.49362	0	0	0.02253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03269	0	0.0196	0.00388	0	0	0.01141	0	0	0	0.00353	0.45657	0.03323	0	0	0	0.01265	0.06276	0	0	0.11824	0	0	0.02103	0.05502	0.00998	0	0	0	0	0	0.02252	0	0	0	0.011	0	0.30268	0	0.01029	0.30924	1.412	0.24067	0	0	0	0	0.00971	0	0	0	0	0.06327	0.19419	0	0	0	0	0	0	0	0	0	0	0	0	0.09135	0	0	0	0	0	0	0	1.15867	0	0	0.00074	0	3.47086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264	0	0	1.35163	2.54127	0	0	0	0	0	0	0.00345	0.00011	0.01038	1.22637	0	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0.03998	0.00491	0	0	0	0.00721	7.68238	0.00349	0	0	0.00467	0.00653	0
P11E7	0	0	0	0	0	0	0	0	23.51429	0.3683	0	0	0	0	0	0	0	0	0.11682	0.93561	0	0	0.01098	0	0.21065	0	0.00045	0.78727	0.85268	0	0	0.00012	0.00114	0.09934	19.33763	0.22345	1.09939	0.30705	0	0	0	0	0	0	0	0	0	0.004	1.77724	0	0.20223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252	2.07173	0	10.07622	0.00773	0.06887	0	5.18067	0.42961	0	0	2.36795	0	0	0	0	0	0	0	0	0	0.08784	0	0	0	0	0.02446	0.00097	0.99885	0	0	0	0.02504	0	0	0	0	0.01009	0	0	0	1.53597	0.68687	0.29635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268	0	0	0	0	0	0	0	2.14332	0.00081	0	0.0374	0.00013	18.85181	2.08695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08402	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	2.88958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432	0	0.00237	0.17211	0	0	0	0	0	0
P11E90	0	0.00118	0.00107	0	0	0	0	0	8.52409	3.37806	0	0	0	2.00E-05	0.01552	0	0	0	0.35873	0.52229	0	0	0.04465	0.00064	0.16641	0	0.00361	6.35051	5.60339	0	0	0.00031	0.00645	0.22078	22.23157	0.93436	18.92999	1.10954	1.17509	0	0	0.09918	0	0.14928	0	0.27159	0.0869	0	0.76103	0	0.00175	0.02585	0	0	0	0	0	0.00103	0	0	0.00058	0	0	0	0	0	0.0695	0	0.06509	0.01225	0.02616	0	0.05482	0.00152	0	0	0.03351	0.44624	0.11373	0	0	0	0	0.42339	0	0	0.08264	0	0.06346	0.06789	0	0.03048	0	0	0	0	0	0.00655	0	0	0	0.00716	0.00251	7.5966	0.00679	0	0.36491	1.4326	0	0	0	0	0	0.01545	0	0	0	0	0	0.21097	0.00776	0.00478	0	0	0	0	0	0	0.00942	0	0	0	0.18326	0	0	0	0	0	0	0	0.1082	0	0	0.00061	0.00015	2.79799	0	0	0.00079	0	0	0	7.00E-05	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0.0372	0	0.04475	0	0	9.63253	3.03875	0	0	0	0	0.00016	0	0.07057	0	0.03215	0.85584	0	0	0	0	0	0.0024	0.00235	0.01884	0	0	0	0	0.00132	0	0	0.02707	0.00756	0	0.00661	0	0.04044	0.32989	0.00504	0	0	0.0053	0	0
P12E0	0	0	0	0	0	0	0	0	0.00069	0.84614	0.45834	0	0	0.00098	0.30303	0	0	0	0.00065	0	0	0	0	0	0.00148	0	0	0	11.75535	0	0	0	0	0	31.16936	0	0	11.46753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10071	0	0.08247	0.01898	0.05044	0	0.00082	0	0	0	0.09001	0.08932	0	0	0	0	0	0.05915	0	0	0	0	1.29341	0.00667	0.01365	0.01527	0	0	0	0	0	0.05372	0	0	2.53167	0	0	0	1.32342	0	0	0.50105	0.20811	0	0	0	0	0.03306	0	0	0	0	0	0.30777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.59895	8.55333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01583	0	0	0	0.0744	0	0	0	0	0	0.32189	0.14179	0	0.02231	0.44579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00872	0.00107	0	0	0	0	0	0	0	0.00165	0.00537	0.00782	0
P12E7	0	0	0	0	0	0	0	0	0	0.05458	0.03142	0	0	3.00E-05	0	0	0	0	0.00024	0	0	0	0	0	0.00034	0	0	0	2.92076	0	0	0	0	0	13.51994	0	0	6.07285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42226	0	4.5031	0.002	0.58058	0	0.11141	0	0	0	2.84775	0	0	0	0	0.0267	0	0	0	0	0.00116	0	0	0	0	0.00268	0	0.26526	0	0	0	0.38173	0	0	0	0	0	0	0.02843	0	0	0.1011	0.05762	0	0	0	0	0	0	0	0	0	0	0	0.05874	0.01101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.14334	15.88735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02587	0	0.00373	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0.91724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12E90	0	0	0.00017	0	0	0	0	0	0.00024	0.31498	0.19509	0	0	0.00221	0.14235	0	0	0	0.00094	0	0	0	0	0	0.00132	0	0	0	8.73907	0	0	0	0	0	24.51274	0	0.0002	10.73859	0	0	0	0	0	0.00838	0	0.03468	0	0	0	0	0	0.02989	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.10992	0.00173	0.11489	0.00933	0.04367	0	0	0	0	0	0.18618	0	0	0	0	0.00126	0	0.26906	0	0	0.00233	0	0	0.00711	0.01825	0.03126	0	0	0	0	0	0	0	0	9.20943	0	0	0.14341	0.0002	0	0.00015	0.49229	0.38625	0	0	0	0	0.01924	0	0	0	0	0.00379	0.56974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.08681	9.50071	0	0.00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00545	0	0	0.06602	1.60253	0	0	0	0	0	0	0.04758	0	0.0179	0.29488	0	0	0	0	0	0	6.00E-05	0	0	0	0	0	0	0	0	0	0	0	0.00551	0	0	0	0	0	0.00472	0.00369	0.01368	0
P13E0	0	0	0.00011	0	0	0	0	1.04246	23.24798	4.72033	0	0	0	0	0.01869	0	0	0	2.68486	1.95948	0	0	1.12418	0.2365	0.00601	0.00214	0.00144	0.0152	0.00844	0	0	0	18.89988	0.03628	0.56159	1.62047	0.58527	0.48408	2.98521	0	0.002	0.40921	0.00062	0.0018	0	2.69094	0	0	0.29135	0	0	0.02079	0	0	0	0	0	0.00518	0	0	0	0	0	0	0	0	0.01178	0.00159	0.0049	0.03302	0.00346	0	0.03728	0.00104	0	0	0	0	0	0	0	0	0	0.19636	1.55653	0	0.17013	0.72512	11.95675	0.03923	1.35069	0	0	0	0	0	0	0.29805	0	0	0.52229	0.17244	0	3.51324	1.5748	0.01132	0.32468	1.95064	0.97012	0	0	0	0	0.00081	0	0	0	0	0.00748	0.03934	0	0	0	0	0	0	0	0	0.01859	0	0	0	0	0	1.88113	0.13156	0	0	0	0	2.33593	0	0.01616	1.0205	0	2.46752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00311	0	0.00876	0	0	0.00302	0.55604	0	0	9.00E-05	0	0	1.94961	0.00799	0	0.05494	0.04698	0	0	0	0	0	0	0	0.00218	0	0	0	0	0	0	0	0.06538	0.13394	0	0.02168	0.00655	0.00362	0	0	0.03268	0.0137	0.05565	0.02222	0
