	GH1	GH10	GH101	GH102	GH103	GH104	GH105	GH106	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH12	GH120	GH121	GH123	GH125	GH13	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH5	GH50	GH51	GH53	GH55	GH57	GH58	GH59	GH6	GH63	GH64	GH65	GH66	GH67	GH68	GH7	GH70	GH73	GH74	GH76	GH77	GH78	GH8	GH81	GH84	GH85	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99	PL1	PL10	PL11	PL12	PL13	PL15	PL21	PL22	PL3	PL7	PL8	PL9	Number
P10E0	0.204596893	0.240323083	0.034621256	0.006813758	0.006445447	0.000368311	1.705649342	1.666608351	0	1.192591788	0.000184156	0.575117998	0.003314801	0.206990916	0.003498957	0	2.622007701	0	0.019704651	0	0.001289089	0.059666421	0.597769139	0.567567617	4.88472779	0.188207042	0.497220171	0	1.007515391	0	15.55304695	4.751399122	1.585764034	0.332585048	0.372362661	0.162793567	0.467571116	3.114623982	2.453689466	5.307917403	1.141396526	3.267104834	1.085965684	0.482856033	0.939561967	2.101031456	0.013259205	0.375309151	0.008655314	0.044381504	0.634784418	5.984320991	0	0	0	0.000184156	0	0.421900523	0.180656662	2.125708309	0.247873463	0.000184156	0.524843514	0	0.006629602	0	0.873081789	0	0.753380637	0.202755336	0.344923474	0	0	0.000552467	0.449155554	0.006077135	0.624655859	1.592025325	3.017758126	0.063533689	0	0.375309151	0.003683112	0	1.053001829	0.792421628	0.040514236	0.164635123	7.198827297	0	0.532393894	2.209683271	3.759721115	0	0.013259205	0.718391069	0.266289025	1.226660577	0.509558597	0.161504478	0.849141559	0.396487047	0	0	0	0.95668844	0.067953423	76
P10E7	0.072513757	0.426437351	0.000882162	0.001058595	0.000176432	0	1.506027816	1.578541574	0	0.807531551	0	0.440022654	0	0.06986727	0.000176432	0	2.06179019	0	0.001764325	0	0.000529297	0.001764325	0.726725466	0.920095485	3.458429857	0.155437032	0.369978952	0	0.636039161	0	14.97364981	4.886827373	1.080119762	0.217188407	0.247005499	0.496128189	0.284056324	2.682126858	1.940228198	6.639154959	0.714904488	3.197839055	1.048361912	0.744898013	1.239085444	2.892963695	0.000352865	0.366097437	0.000352865	0.02540628	0.392738744	5.18376327	0	0	0	0	0	1.222324357	0.533884744	2.373369984	0.005998705	0	0.465428934	0	0.07480738	0	0.613279369	0	0.535119771	0.334692452	0.253886367	0	0	0	0.426613784	0.10656523	1.108348962	1.200976025	3.810589126	0	0	0.332398829	0	0	1.23167528	1.252141449	0.041108772	0.142910325	8.876142621	0	0.182431205	2.431239844	3.407617297	0	0.098625767	0.875634495	0.242241822	1.290956599	0.580110059	0.130030752	1.579423736	0.142910325	0	0	0	1.102350257	0.044284557	68
P10E90	0.149863487	0.214606922	0.003412832	0.001505661	0.000602265	0	1.999217056	1.957660805	0	1.173713161	0	0.581084879	0.00040151	0.144342729	0.003011323	0	2.493575845	0	0.002810568	0	0.008331326	0.002910945	0.620232073	0.407632699	3.928471051	0.272123183	0.374006264	0	1.019734201	0.000100377	16.66646591	5.332249257	1.439111058	0.177668032	0.395487031	0.139323858	0.527081828	3.459708504	2.848911909	4.820424797	1.113587087	2.873203244	0.946358307	0.58570224	0.894162049	1.803982976	0.000702642	0.379025135	0.025495864	0.025495864	0.52467277	5.839958243	0	0	0	0	0.000100377	0.537320324	0.213803903	2.128503172	0.063538906	0	0.501184454	0	0.026298884	0	0.880309965	0	0.369890789	0.163012929	0.370693809	0.00040151	0	0.002107926	0.441459889	0.031016623	0.613506786	1.343150245	3.143017747	0.018168313	0	0.481410102	0.005922268	0	1.004476833	0.91473942	0.530795792	0.120252148	7.494880752	0.000100377	0.505099173	2.482333574	3.908997832	0	0.028707942	0.81325785	0.388460612	1.362121577	0.461334618	0.120754035	0.606480366	0.180177467	0	0	0	0.727334779	0.102083835	72
P11E0	0.057521224	0.288160985	0.000739823	0.000924779	0.001109734	0	1.890802153	2.31749496	0.000184956	1.935746389	0	0.981190005	0.000369911	0.10246546	0.004623893	0	1.967188858	0	0.013501766	0	0.013686722	0.000369911	0.654003366	0.454621118	2.625076294	0.305546822	0.210849502	0	0.570403388	0	16.51007084	5.00989513	1.15227403	0.174228272	0.231194629	0.135202619	0.414115819	3.878891006	3.567795513	5.428819798	1.455786339	3.210276139	0.897590027	0.534152071	0.952891782	2.161762258	0	0.252279579	0.034216805	0.008138051	0.44722289	6.687443357	0	0	0	0	0	0.252094623	0.20789021	2.560341798	0.031072558	0	0.470157397	0	0	0	1.266391699	0	0.5983317	0.134647752	0.629774169	0.000184956	0	0.000739823	0.191429153	0.015166368	0.428357408	1.214419147	3.218969057	0.012761944	0	0.336064513	0.01590619	0	1.162261638	0.6826715	0.019605305	0.036991141	6.981153014	0.004623893	0.104869884	2.256644534	4.639428857	0	0.011652209	0.876690033	0.269850371	1.471507574	0.321268056	0.107089352	0.656592746	0.018865482	0	0	0	0.713374147	0.028483178	72
P11E7	0.04948299	0.211455261	0	0.003073478	0.001536739	0	1.298749197	1.362779981	0.000102449	0.688458989	0	0.4808968	0.000102449	0.036779282	0.000102449	0	1.415541347	0	0.018953112	0	0	0	0.797260097	1.10327602	2.300600455	0.158591446	0.368612417	0	0.648401331	0.000717145	14.36779077	5.136703163	0.96035931	0.196087873	0.131032596	0.41625132	0.288804448	2.268431389	1.465126786	8.835735939	0.720525606	3.856087483	1.200602811	0.641434781	1.003285548	2.167621323	0.00143429	0.658851155	0	0.009732679	0.334496815	5.66872214	0	0	0	0.000102449	0	0.591029748	0.60588489	2.477325419	0.026636806	0	0.382852863	0	0	0	0.31738779	0	0.226310403	0.448010589	0.153571432	0	0	0	0.242804733	0	1.336450523	0.959847064	4.255946923	0.001024493	0	0.403854961	0.000102449	0	1.329074176	1.168228847	0.007068999	0.042106644	11.94240713	0.042413991	0.021104546	2.035051988	3.197748575	0	0.038623369	0.83127325	0.219651201	0.78179026	0.435921577	0.200800538	1.884246686	0.007888593	0	0	0	1.410213986	0.064440581	68
P11E90	0.133259893	0.702944532	0.003821878	5.62E-05	5.62E-05	0	1.766550699	1.645824317	0.00028102	0.841206589	0	0.294902851	0.000337225	0.157652468	0.019446615	0	1.817415399	0	0.124154831	0	0.005339388	0.003035021	0.435075847	0.888024595	3.337623579	0.136407322	0.237743293	0	0.752909967	0	14.02972072	4.473789223	0.857112346	0.075482091	0.35138796	0.424902907	0.276018278	3.504212496	1.855521771	7.425571736	0.948331582	3.57890773	0.91174272	0.480432547	0.990203627	3.131466983	0	0.483523772	0.126965035	0.008205797	0.683160693	6.328243116	0	0	0	0	0	0.562209495	0.511007571	2.159866909	0.159169978	0	0.426645234	0	5.62E-05	0	0.4632903	0	0.770108418	0.363190819	0.306256077	0.000112408	0	0.000505837	0.143882466	0.060306987	0.935067417	1.063943391	3.238591975	0.060700415	0	0.193735492	0.000112408	0	1.430675067	1.059728085	0.017086043	0.266744603	8.284819838	0.005114572	0.495214222	2.30436762	3.682098436	0	0.039961107	0.948331582	0.312550935	1.777847721	0.402589884	0.156978019	1.494241891	0.042546495	0	0	0	1.182758834	0.060194579	73
P12E0	0.014226775	0.956846731	9.61E-05	0.000288381	0	0	1.949164273	1.522937791	9.61E-05	0.474866672	0	0.214747398	9.61E-05	0.025569744	0.000865142	0	1.18197583	0	0.199367101	0	0.001249649	0	0.419016968	1.144005721	1.837368739	0.003652821	0.180622364	0	0.573492827	0	12.84187517	4.871709097	0.652124596	0.132078301	0.263483714	0.475155053	0.077285993	3.228804989	0.876292426	7.403113741	0.524564257	3.822099949	0.759113787	0.388352501	1.231961795	4.106635445	0.000192254	0.120639205	0.002307045	0.001345776	0.525237145	5.905841821	0	0	0	0	0	0.663371438	0.83486175	2.148627501	0	0	0.390563419	0	0.008651417	0	0	0	0.70460986	0.600504474	0.16024347	0	0	9.61E-05	0.335578857	0.009708813	1.365289746	0.868890658	3.092208726	0.000288381	0	9.61E-05	0	0	1.691352043	1.387879557	0	0.604445675	10.83887985	0	0.041526802	2.837280302	3.644938152	0	0.008074656	0.907822035	0.303760867	2.539094793	0.544558643	0.151399799	2.558800798	0	0	0	0	1.695773879	0.057676114	62
P12E7	0.016213733	0.634857724	0	0.003242747	0.003422899	0	1.789815974	1.699919832	0.000360305	0.462271544	0	0.888692723	0	0.012250376	0.000180153	0	1.319257411	0	0.137456426	0	0.000180153	0	0.557572264	1.241611645	1.933938046	0.002341984	0.197987696	0	0.809605736	0.003422899	12.76164912	5.213976238	0.735382869	0.249151031	0.194204491	0.31796932	0.069538899	2.869650594	0.954448418	7.864921589	0.496860841	3.492618248	0.880405704	0.622607348	1.043984255	4.05775692	0.005044272	0.117819793	0	0.007926714	0.572344776	5.780556131	0	0	0	0	0	0.559914247	0.906347676	2.194078384	0	0	0.42930362	0.000180153	0	0	0.001801526	0	0.445697506	0.56081501	0.305718944	0	0	0	0.249691489	0.001080916	1.595611483	0.843834728	3.040615401	0.002882441	0	0	0	0	1.575974851	1.364655864	0	0.430744841	11.11883766	0	0.001261068	2.762639956	3.596025834	0	0.082690038	0.931929344	0.284460938	2.159849392	0.500644046	0.177270148	2.062927299	0	0	0	0	1.684246557	0.049541962	61
P12E90	0.037230213	0.833644006	0.00020179	0.000151342	0	0	1.998727715	1.549089651	0	0.455187284	0	0.302785556	0.000302685	0.041114667	0.000252237	0	1.196562915	0	0.190640889	0	0.00216924	0.000756712	0.458920394	1.183900606	2.41285078	0.004943849	0.200074561	0	0.730630326	0	12.54794399	4.836144181	0.776033025	0.146650719	0.405698341	0.430165352	0.075822508	3.336694815	0.890498274	7.491798507	0.535499614	3.630601621	0.831928792	0.485960224	1.113021948	3.853175742	0	0.130406642	0.003127742	0.001765661	0.534995139	6.100458012	0	0	0	0	0	0.678114537	0.841463359	2.138467134	0.002673715	0	0.43394891	0	0	0	0	0	0.59517894	0.578682626	0.208045257	0	0	0.000100895	0.278570784	0.000504474	1.426502363	0.942307799	3.047782305	0.002219688	0	5.04E-05	0.001210739	0	1.631066747	1.340993946	0	0.549927583	10.58059458	0	0.142060001	2.85567844	3.544084255	0	0.036523949	0.945031961	0.294411281	2.355643379	0.528033392	0.195231607	2.243599607	0	0	0	0	1.62526529	0.099028332	60
P13E0	0.415074253	0.937206562	0.117823671	0.006578987	0.001196179	0	0.805028738	0.610051496	0	1.36244834	0	0.357657641	0	0.425839867	0.016746512	0	1.944987709	0	0	0	0.087919186	0.153110964	0.78170324	0.467108057	9.363094277	0.145335797	0.363040449	0	0.656702492	0	14.80750483	4.44799311	2.236257394	0.429428406	0.394141113	0.350480565	0.324762708	1.596301413	1.770345516	5.193810968	1.175246263	2.841524172	0.872612874	0.668066197	0.830148506	2.712934886	0.008971346	0.413878073	0.02033505	0.037081561	0.548448256	4.985077662	0	0	0	0	0	0.831942775	0.147130067	1.677043523	0.269738455	0	1.464123589	0	0.047249086	0.00059809	0.615434303	0	0.86124917	0.09988098	0.158493771	0.002990449	0	0.017344601	1.324768689	0.051435714	0.430026495	1.80324045	2.422263291	0.073565033	0	0.525720848	0.0406701	0	0.856464453	0.455744353	0.096890532	0.254188123	6.6728868	0	0.732659884	1.498812792	2.739848923	0	0.037679651	0.443184469	0.095096263	0.353471014	1.491037626	0.622611379	0.538878821	2.120826081	0	0	0	1.760776081	0.063995598	78
