	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P13E0	P13E7	P13E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P12E0	P12E7	P12E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P19E0	P19E7	P19E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P2E0	P2E7	P2E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90
Bacteroides vulgatus	1.243284219	1.235	1.273115778	1.242250138	1.133439773	1.251105623	1.156750265	1.243449782	1.028090738	1.384120648	1.223228658	1.429656327	1.209304927	0.977926688	1.171932001	NA	NA	NA	1.232541234	1.230299935	1.361249128	1.506704081	1.467559576	1.415253261	1.238055786	1.24263356	1.043164637	1.139264679	1.314329607	1.187438617	1.287689857	1.310077218	1.168095732	1.128964678	1.14488505	1.220111325	1.444626812	1.381949291	1.294095951	1.13516725	1.160771778	1.211204543
Faecalibacterium prausnitzii	1.263406938	1.101345292	1.242731326	1.180722892	1.14334471	1.139941691	1.238498789	1.211514755	1.153561675	1.223128167	1.219895288	1.196727143	1.190094581	1.1986231	1.182171636	1.183175878	1.069856986	1.184235977	1.20508744	1.248868778	1.274468085	1.185267118	1.134422132	1.190000079	1.153701968	1.163116759	1.109559165	1.009618482	NA	1.15827511	NA	1.185840708	NA	1.08280215	1.060629317	1.18078909	1.453737812	NA	1.167095116	1.126005385	1.160955751	1.081632653
Odoribacter splanchnicus	1.006081668	1	0.98281092	0.987179487	0.927853348	0.956896552	1.007454739	1.063552281	1.066804985	1.055131392	1.126760563	1.021020219	0.983706721	0.96069869	0.971764706	NA	NA	NA	1.007751938	1.008040713	1.113529198	1.158357771	1.176282051	1.152700186	1.000281924	1	1.019187339	NA	NA	NA	0.987841945	1.001259446	0.994555031	0.978812037	1	0.982803662	NA	NA	NA	1.050629247	1.174690377	1.214433206
Parabacteroides distasonis	0.994590417	0.885763721	1.0649216	0.993830969	1.008455715	1.046204453	1.127445796	1.164997719	1.21001221	1.151759334	1.102750389	1.12085343	1.088888889	1.152068127	1.111818182	NA	NA	NA	1.097560976	1.142337095	1.218827008	1.269953052	1.239930746	1.280560283	0.923513082	0.944206009	0.861528216	NA	NA	NA	1.031954887	1.080218647	0.982331482	1.140546006	1.168263473	1.079918033	NA	NA	NA	0.9123365	0.92837728	1.035768601
butyrate-producing bacterium SS3/4	1.168732935	NA	1.157465496	1.120689655	1.051948052	NA	1.216666667	1.202247191	1.245762712	1.133333333	NA	1.167664671	1.174075234	1.161176471	1.132510128	1.219614417	NA	1.180396491	1.114035088	1.148125579	1.200363546	1.292207792	0.801555409	1.197353831	1.25465457	1.142857143	1.168421053	1.107441861	0.984375	1.187510101	NA	NA	NA	1.287925648	1.233330332	NA	NA	NA	NA	1.072580645	1.222222222	1.142857143
Alistipes shahii	1.06039646	1.041044776	1.02681566	1.048876288	1.060352103	1.044635047	1.032649315	1.088609759	1.075956617	1.057626643	1.086183336	1.066075615	1.007143984	0.964818003	1.052679382	NA	NA	NA	1.009999246	1.026201064	1.072972358	1.144607954	1.131211216	1.094127458	1.018326648	1.020543705	1.048245547	NA	NA	NA	1.007471649	1.020915903	1.002663705	1.124796598	1.122916247	1.097955507	NA	NA	NA	NA	NA	NA
Bifidobacterium longum	1.228357241	1.166675008	1.2	1.153846154	NA	1.225801673	1.160376522	1.197052158	1.226130175	1.364942656	NA	1.297580446	1.147613412	1.143495235	1.139881996	NA	NA	1.151137684	NA	1.201496934	1.238063039	1.228675333	1.258205262	1.292553343	NA	1.266775434	NA	1.271786589	NA	NA	1.485722436	NA	1.276595299	NA	NA	NA	1.359429387	1.333332624	1.303847004	1.363969156	0.999994693	1.188306636
Streptococcus thermophilus	1.390243902	1.318681319	1.205055069	NA	1.333333333	1.333333333	1.295429795	1.142857143	1.18522153	NA	NA	1.317436042	1.17936982	1.114173172	1.294158609	NA	NA	1.25	NA	NA	1.147688969	1.183604562	NA	1.160290235	1.26466847	1.175965554	1.268585565	1.128002436	1.202898499	1.157518752	1.144697417	NA	1.283967319	NA	NA	NA	1.227135149	1.317919098	NA	1.159926079	1.162854635	1.097910348
Escherichia coli	1.52461451	1.375002515	1.658822212	1.540088445	NA	1.482117582	1.607977581	NA	NA	1.842906403	NA	1.445572243	1.406574871	1.455219289	1.362385399	1.362133736	1.678824341	NA	1.663305018	1.638112829	1.47616693	NA	1.584491968	NA	NA	1.555159126	NA	1.421951279	1.499710586	1.362260336	1.3142806	1.555807011	1.445929568	NA	NA	NA	1.623843481	1.556160609	1.389430183	NA	NA	NA
Eubacterium eligens	0.963855422	0.990291262	1.047015536	NA	NA	NA	0.853080569	0.905790183	0.981572482	1.023076923	1.032258065	0.971014493	NA	NA	NA	0.975903615	NA	0.994495894	0.973451327	1.012820513	0.993173007	1.009259259	1.05	0.989847716	1.009000621	0.959147425	1.024545455	NA	NA	NA	0.953271028	0.944137931	1	0.929174789	0.971204189	1.024211587	0.980096139	NA	NA	NA	NA	NA
Eubacterium rectale	1.099468508	NA	0.971974792	1.019607843	NA	1.054458065	1.117910926	NA	1.073621333	1.137275064	1.089371912	1.090243902	1.048180387	NA	1.134210526	NA	NA	1.063024811	1.146859083	NA	1.141659682	1.196898966	NA	1.10626151	1.069064748	NA	1.088456797	1.083613724	NA	NA	1.101910828	NA	NA	1.055913979	1.083743842	NA	1.185553886	NA	1.076215648	1.187310933	1.225	1.079510703
butyrate-producing bacterium SSC/2	1.022203225	NA	1.146788991	1	NA	1.041666667	1.054054054	1.142857143	1.055045872	1.235294118	NA	1.125	1.046511628	NA	1.014705882	1.12195122	NA	1.076628353	NA	NA	1.079691626	1.027027027	NA	1.099143479	1.083322143	NA	NA	1.072555205	NA	1.084	NA	NA	NA	1.110236221	1.103448276	1.098765432	1.230769231	NA	1.090670086	1.159950387	NA	1
