Treatment	Days	Cage	tag	Total_Biomass_plant2
BA	0	1	BA1D1	4215.544267
BA	3	1	BA1D3	3.108465079
BA	6	1	BA1D6	0.907225225
BA	7	1	BA1D7	14.83217784
BA	10	1	BA1D10	115.5559573
BA	13	1	BA1D13	151.7527215
BA	16	1	BA1D16	239.2686162
BA	19	1	BA1D19	312.9139044
BA	22	1	BA1D22	126.6013278
BA	25	1	BA1D25	198.7628834
BA	28	1	BA1D28	121.2641001
BA	0	2	BA2D1	3366.711176
BA	3	2	BA2D3	0.919351101
BA	6	2	BA2D6	1.806187871
BA	7	2	BA2D7	1.825004047
BA	10	2	BA2D10	15.3409606
BA	13	2	BA2D13	885.4971192
BA	16	2	BA2D16	225.7835276
BA	19	2	BA2D19	180.5850435
BA	22	2	BA2D22	71.28259146
BA	25	2	BA2D25	198.8621471
BA	28	2	BA2D28	135.0366331
BA	0	3	BA3D1	379.8890851
BA	3	3	BA3D3	2.647512014
BA	6	3	BA3D6	0.786034083
BA	7	3	BA3D7	4.881783634
BA	10	3	BA3D10	18.73794508
BA	13	3	BA3D13	70.67908733
BA	16	3	BA3D16	40.50804631
BA	19	3	BA3D19	64.26202469
BA	22	3	BA3D22	582.5583074
BA	0	4	BA4D1	1136.93339
BA	3	4	BA4D3	1.270481144
BA	6	4	BA4D6	0.540146292
BA	7	4	BA4D7	1.234077319
BA	10	4	BA4D10	1.674108582
BA	13	4	BA4D13	12.62714915
BA	16	4	BA4D16	36.89633587
BA	19	4	BA4D19	31.18238601
BA	22	4	BA4D22	39.30904452
BA	0	5	BA5D1	785.4513981
BA	3	5	BA5D3	1.603064658
BA	6	5	BA5D6	0.297840897
BA	7	5	BA5D7	2.555217513
BA	10	5	BA5D10	3.946248198
BA	13	5	BA5D13	281.5835511
BA	16	5	BA5D16	86.69863596
BA	19	5	BA5D19	20.11795972
BA	22	5	BA5D22	50.1768565
BA	0	6	BA6D1	955.653322
BA	3	6	BA6D3	1.957687649
BA	6	6	BA6D6	0.475706636
BA	7	6	BA6D7	2.794244128
BA	10	6	BA6D10	2.820217532
BA	13	6	BA6D13	40.65836705
BA	16	6	BA6D16	42.21735149
BA	19	6	BA6D19	24.62683062
BA	22	6	BA6D22	106.1124784
BC	0	1	BC1D1	6040.054545
BC	3	1	BC1D3	2.278170725
BC	6	1	BC1D6	1.505155593
BC	7	1	BC1D7	3.412433605
BC	10	1	BC1D10	32.32657832
BC	13	1	BC1D13	73.88117718
BC	16	1	BC1D16	27.9509112
BC	19	1	BC1D19	23.87130763
BC	22	1	BC1D22	72.16916907
BC	25	1	BC1D25	34.46996188
BC	28	1	BC1D28	36.29539563
BC	0	2	BC2D1	2551.455923
BC	3	2	BC2D3	1.573592068
BC	6	2	BC2D6	0.414218659
BC	7	2	BC2D7	0.836927726
BC	10	2	BC2D10	33.11316738
BC	13	2	BC2D13	56.33191542
BC	16	2	BC2D16	82.76183026
BC	19	2	BC2D19	76.86947115
BC	22	2	BC2D22	123.3576211
BC	25	2	BC2D25	195.0074476
BC	28	2	BC2D28	200.8811408
BC	0	3	BC3D1	2032.081603
BC	3	3	BC3D3	0.896335955
BC	6	3	BC3D6	1.020075963
BC	7	3	BC3D7	9.503368222
BC	10	3	BC3D10	5.902070748
BC	13	3	BC3D13	17.56936423
BC	16	3	BC3D16	331.4067059
BC	19	3	BC3D19	22.7614359
BC	22	3	BC3D22	43.04803169
BC	0	4	BC4D1	575.3026457
BC	3	4	BC4D3	0.789913035
BC	6	4	BC4D6	0.650693413
BC	7	4	BC4D7	0.973021243
BC	10	4	BC4D10	9.864729403
BC	13	4	BC4D13	18.11660286
BC	16	4	BC4D16	39.03793198
BC	19	4	BC4D19	20.65679056
BC	22	4	BC4D22	38.15870757
BC	0	5	BC5D1	472.5046954
BC	3	5	BC5D3	1.216716199
BC	6	5	BC5D6	0.709748002
BC	7	5	BC5D7	7.047374626
BC	10	5	BC5D10	16.96062258
BC	13	5	BC5D13	111.4528225
BC	16	5	BC5D16	115.0217949
BC	19	5	BC5D19	305.1353538
BC	22	5	BC5D22	147.3222346
BC	0	6	BC6D1	416.3714394
BC	3	6	BC6D3	0.725387978
BC	6	6	BC6D6	0.534539848
BC	7	6	BC6D7	0.355404737
BC	10	6	BC6D10	7.931945921
BC	13	6	BC6D13	34.24786126
BC	16	6	BC6D16	67.34390666
BC	19	6	BC6D19	19.96652124
BC	22	6	BC6D22	24.74635622
BCBA	0	1	BCBA1D1	2496.086288
BCBA	3	1	BCBA1D3	1.477956715
BCBA	6	1	BCBA1D6	0.761002031
BCBA	7	1	BCBA1D7	1.635094455
BCBA	10	1	BCBA1D10	27.26811808
BCBA	13	1	BCBA1D13	176.1792866
BCBA	16	1	BCBA1D16	60.08703321
BCBA	19	1	BCBA1D19	101.5434698
BCBA	22	1	BCBA1D22	57.27903982
BCBA	25	1	BCBA1D25	132.3432851
BCBA	28	1	BCBA1D28	12.39012515
BCBA	0	2	BCBA2D1	2268.431442
BCBA	3	2	BCBA2D3	2.259684432
BCBA	6	2	BCBA2D6	0.905563622
BCBA	7	2	BCBA2D7	3.358589937
BCBA	10	2	BCBA2D10	4.864130341
BCBA	13	2	BCBA2D13	55.7532656
BCBA	16	2	BCBA2D16	114.5264595
BCBA	19	2	BCBA2D19	304.3021219
BCBA	22	2	BCBA2D22	160.1112484
BCBA	25	2	BCBA2D25	81.6116266
BCBA	28	2	BCBA2D28	168.4464355
BCBA	0	3	BCBA3D1	2794.709337
BCBA	3	3	BCBA3D3	1.242095221
BCBA	6	3	BCBA3D6	7.327261287
BCBA	7	3	BCBA3D7	2.539584179
BCBA	10	3	BCBA3D10	21.77075068
BCBA	13	3	BCBA3D13	43.883577
BCBA	16	3	BCBA3D16	44.21789195
BCBA	19	3	BCBA3D19	35.57171544
BCBA	22	3	BCBA3D22	53.07510944
BCBA	0	4	BCBA4D1	612.1936648
BCBA	3	4	BCBA4D3	8.907964384
BCBA	6	4	BCBA4D6	1.425514891
BCBA	7	4	BCBA4D7	4.804474833
BCBA	10	4	BCBA4D10	58.51585586
BCBA	13	4	BCBA4D13	14.97038399
BCBA	16	4	BCBA4D16	9.978783657
BCBA	19	4	BCBA4D19	11.48290535
BCBA	22	4	BCBA4D22	19.71205575
BCBA	0	5	BCBA5D1	832.8823324
BCBA	3	5	BCBA5D3	1.240339746
BCBA	6	5	BCBA5D6	0.909392544
BCBA	7	5	BCBA5D7	0.613512545
BCBA	10	5	BCBA5D10	11.2208764
BCBA	13	5	BCBA5D13	173.7938898
BCBA	16	5	BCBA5D16	38.67825933
BCBA	19	5	BCBA5D19	26.37425123
BCBA	22	5	BCBA5D22	89.22610438
BCBA	0	6	BCBA6D1	294.2663918
BCBA	3	6	BCBA6D3	1.055260421
BCBA	6	6	BCBA6D6	0.730160856
BCBA	7	6	BCBA6D7	0.258680215
BCBA	10	6	BCBA6D10	28.55080563
BCBA	13	6	BCBA6D13	18.1948171
BCBA	16	6	BCBA6D16	40.68290846
BCBA	19	6	BCBA6D19	26.04272782
BCBA	22	6	BCBA6D22	104.5624921
BT	0	1	BT1D1	5790.520518
BT	3	1	BT1D3	1.326342763
BT	6	1	BT1D6	1.392640187
BT	7	1	BT1D7	6.441122767
BT	10	1	BT1D10	733.1010245
BT	13	1	BT1D13	724.0058957
BT	16	1	BT1D16	470.6310369
BT	19	1	BT1D19	1569.351176
BT	22	1	BT1D22	1255.06398
BT	25	1	BT1D25	815.5058053
BT	28	1	BT1D28	628.2563577
BT	0	2	BT2D1	5759.693305
BT	3	2	BT2D3	2.233567716
BT	6	2	BT2D6	1.658886144
BT	7	2	BT2D7	1.624679222
BT	10	2	BT2D10	6390.247454
BT	13	2	BT2D13	242.4812572
BT	16	2	BT2D16	435.1226176
BT	19	2	BT2D19	1010.638462
BT	22	2	BT2D22	470.308415
BT	25	2	BT2D25	401.7001439
BT	28	2	BT2D28	246.6766383
BTBA	0	1	BTBA1D1	2201.005411
BTBA	3	1	BTBA1D3	2.20888573
BTBA	6	1	BTBA1D6	0.733620035
BTBA	7	1	BTBA1D7	6.426610927
BTBA	10	1	BTBA1D10	2868.642882
BTBA	13	1	BTBA1D13	3332.481667
BTBA	16	1	BTBA1D16	2048.355705
BTBA	19	1	BTBA1D19	2995.1244
BTBA	22	1	BTBA1D22	1180.406298
BTBA	25	1	BTBA1D25	2021.211412
BTBA	28	1	BTBA1D28	1470.456516
BTBA	0	2	BTBA2D1	1930.811688
BTBA	3	2	BTBA2D3	3.163873371
BTBA	6	2	BTBA2D6	1.701248646
BTBA	7	2	BTBA2D7	7.503620138
BTBA	10	2	BTBA2D10	3127.517839
BTBA	13	2	BTBA2D13	1729.312862
BTBA	16	2	BTBA2D16	556.6981132
BTBA	19	2	BTBA2D19	1079.568234
BTBA	22	2	BTBA2D22	575.284882
BTBA	25	2	BTBA2D25	603.4649791
BTBA	28	2	BTBA2D28	1003.524073
PBS	0	2	PBS2D1	1338.072058
PBS	3	2	PBS2D3	1.561409219
PBS	6	2	PBS2D6	1.15787145
PBS	7	2	PBS2D7	1.825004047
PBS	10	2	PBS2D10	14.35855316
PBS	13	2	PBS2D13	506.6955736
PBS	16	2	PBS2D16	155.1107664
PBS	19	2	PBS2D19	415.3738688
PBS	22	2	PBS2D22	166.9738809
PBS	25	2	PBS2D25	623.6694794
PBS	28	2	PBS2D28	705.6316852
PBS	0	3	PBS3D1	597.8888085
PBS	3	3	PBS3D3	1.70900761
PBS	6	3	PBS3D6	0.552882222
PBS	7	3	PBS3D7	0.569517626
PBS	10	3	PBS3D10	12.89689439
PBS	13	3	PBS3D13	17.45996286
PBS	16	3	PBS3D16	36.60285939
PBS	19	3	PBS3D19	21.58173067
PBS	22	3	PBS3D22	94.09727198
PBS	0	4	PBS4D1	221.0695559
PBS	3	4	PBS4D3	0.740526414
PBS	6	4	PBS4D6	0.588298559
PBS	7	4	PBS4D7	0.267720201
PBS	10	4	PBS4D10	6.773785484
PBS	13	4	PBS4D13	20.3701754
PBS	16	4	PBS4D16	31.32546314
PBS	19	4	PBS4D19	37.75769075
PBS	22	4	PBS4D22	62.12805188
PBS	0	5	PBS5D1	475.2771338
